ID registro,datasetKey_global_unique_identifier,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,decimalLatitude,decimalLongitude,eventDate,Mes,Fecha,basisOfRecord,Leyenda,institutionCode,collectionCode,catalogNumber,recordNumber,rightsHolder,recordedBy
2243784627,b1047888-ae52-4179-9dd5-5448ea342a24,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona kawalli,,SPECIES,"Amazona kawalli Grantsau & Camargo, 1989",Amazona kawalli,,BR,"Cristalino Jungle Lodge, MT",,-9.5981,-55.932,2009-09-21T00:00:00,septiembre,21/09/09,HUMAN_OBSERVATION,Espécimen multimedia,xeno-canto,Bird sounds,XC39145,,Andrew Spencer,Andrew Spencer
2243779306,b1047888-ae52-4179-9dd5-5448ea342a24,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona kawalli,,SPECIES,"Amazona kawalli Grantsau & Camargo, 1989",Amazona kawalli,,BR,"Cristalino Jungle Lodge, MT",,-9.5981,-55.932,2009-08-27T00:00:00,agosto,27/08/09,HUMAN_OBSERVATION,Espécimen multimedia,xeno-canto,Bird sounds,XC38456,,Andrew Spencer,Andrew Spencer
2243717986,b1047888-ae52-4179-9dd5-5448ea342a24,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona kawalli,,SPECIES,"Amazona kawalli Grantsau & Camargo, 1989",Amazona kawalli,,BR,"Cristalino Jungle Lodge, MT",,-9.5981,-55.932,2000-09-16T00:00:00,septiembre,16/09/00,HUMAN_OBSERVATION,Espécimen multimedia,xeno-canto,Bird sounds,XC313948,,Jeremy Minns,Jeremy Minns
2243654889,b1047888-ae52-4179-9dd5-5448ea342a24,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona kawalli,,SPECIES,"Amazona kawalli Grantsau & Camargo, 1989",Amazona kawalli,,BR,"Novo Progresso, Pará",,-7.1501,-55.4834,2008-07-24T00:00:00,julio,24/07/08,HUMAN_OBSERVATION,Espécimen multimedia,xeno-canto,Bird sounds,XC24099,,Sidnei Dantas,Sidnei Dantas
2243635809,b1047888-ae52-4179-9dd5-5448ea342a24,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona kawalli,,SPECIES,"Amazona kawalli Grantsau & Camargo, 1989",Amazona kawalli,,BR,"Rio Cristalino Jungle Lodge, Mato Grosso",,-9.45,-55.9,2005-07-24T00:00:00,julio,24/07/05,HUMAN_OBSERVATION,Espécimen multimedia,xeno-canto,Bird sounds,XC218388,,Peter Boesman,Peter Boesman
2243635144,b1047888-ae52-4179-9dd5-5448ea342a24,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona kawalli,,SPECIES,"Amazona kawalli Grantsau & Camargo, 1989",Amazona kawalli,,BR,"Rio Cristalino Jungle Lodge, Mato Grosso",,-9.45,-55.9,2005-07-20T00:00:00,julio,20/07/05,HUMAN_OBSERVATION,Espécimen multimedia,xeno-canto,Bird sounds,XC218386,,Peter Boesman,Peter Boesman
2243634475,b1047888-ae52-4179-9dd5-5448ea342a24,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona kawalli,,SPECIES,"Amazona kawalli Grantsau & Camargo, 1989",Amazona kawalli,,BR,"Rio Cristalino Jungle Lodge, Mato Grosso",,-9.45,-55.9,2005-07-21T00:00:00,julio,21/07/05,HUMAN_OBSERVATION,Espécimen multimedia,xeno-canto,Bird sounds,XC218389,,Peter Boesman,Peter Boesman
2243634309,b1047888-ae52-4179-9dd5-5448ea342a24,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona kawalli,,SPECIES,"Amazona kawalli Grantsau & Camargo, 1989",Amazona kawalli,,BR,"Rio Cristalino Jungle Lodge, Mato Grosso",,-9.45,-55.9,2005-07-24T00:00:00,julio,24/07/05,HUMAN_OBSERVATION,Espécimen multimedia,xeno-canto,Bird sounds,XC218387,,Peter Boesman,Peter Boesman
2243596070,b1047888-ae52-4179-9dd5-5448ea342a24,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona kawalli,,SPECIES,"Amazona kawalli Grantsau & Camargo, 1989",Amazona kawalli,,BR,"Machadinho d'Oeste, Rondônia",,-8.9495,-61.967,2014-01-25T00:00:00,enero,25/01/14,HUMAN_OBSERVATION,Espécimen multimedia,xeno-canto,Bird sounds,XC167235,,GABRIEL LEITE,GABRIEL LEITE
2243582872,b1047888-ae52-4179-9dd5-5448ea342a24,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona kawalli,,SPECIES,"Amazona kawalli Grantsau & Camargo, 1989",Amazona kawalli,,BR,"Itaituba, Para",,-5.1019,-56.9147,2013-08-21T00:00:00,agosto,21/08/13,HUMAN_OBSERVATION,Espécimen multimedia,xeno-canto,Bird sounds,XC147375,,GABRIEL LEITE,GABRIEL LEITE
