GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING BIRD ATLAS CODE	BREEDING BIRD ATLAS CATEGORY	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS342565744	2018-06-28 16:36:15	12309	species	Kawall's Parrot	Amazona kawalli			2				Brazil	BR	Mato Grosso	BR-MT							Cristalino Lodge--Torre 1	L2319134	H	-9.5987073	-55.9367341	2015-09-15	18:36:00	obsr228697	S25049559	Traveling	P22	EBIRD	180	1.609		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS340611521	2018-04-15 21:19:47	12309	species	Kawall's Parrot	Amazona kawalli			1				Brazil	BR	Mato Grosso	BR-MT							Cristalino Lodge--Torre 1	L2319134	H	-9.5987073	-55.9367341	2015-09-06	05:45:00	obsr163746	S24910452	Traveling	P22	EBIRD	315	3.219		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS343920460	2018-04-15 21:19:47	12309	species	Kawall's Parrot	Amazona kawalli			1				Brazil	BR	Mato Grosso	BR-MT							Cristalino Lodge--Torre 1	L2319134	H	-9.5987073	-55.9367341	2015-09-23	05:55:00	obsr348753	S25143426	Stationary	P21	EBIRD	180			4	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS361366172	2018-04-05 12:32:58	12309	species	Kawall's Parrot	Amazona kawalli			X				Brazil	BR	Mato Grosso	BR-MT							Cristalino Lodge--Lodge grounds	L2319668	H	-9.5975263	-55.9314823	2015-09-19	16:00:00	obsr555817	S26476078	Historical	P62	EBIRD_CAN	90	1.000		7	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS341822792	2020-07-29 16:43:44	12309	species	Kawall's Parrot	Amazona kawalli			2				Brazil	BR	Mato Grosso	BR-MT							Cristalino Lodge--Torre 2 and trail	L2326048	H	-9.6007896	-55.9228429	2015-09-12	05:45:00	obsr163746	S24994713	Traveling	P22	EBIRD	270	1.609		5	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS361386337	2018-04-15 21:19:48	12309	species	Kawall's Parrot	Amazona kawalli			X				Brazil	BR	Mato Grosso	BR-MT							Cristalino Lodge--Torre 2 and trail	L2326048	H	-9.6007896	-55.9228429	2015-09-23	07:00:00	obsr555817	S26477552	Historical	P62	EBIRD_CAN	420	4.000		7	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS341050088	2020-07-29 16:31:05	12309	species	Kawall's Parrot	Amazona kawalli			2	F 	FO		Brazil	BR	Mato Grosso	BR-MT							Cristalino Jungle Lodge	L3809530	P	-9.5967724	-55.9314716	2015-09-07	15:30:00	obsr163746	S24939102	Traveling	P22	EBIRD	150	9.656		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS361372350	2018-04-15 21:19:47	12309	species	Kawall's Parrot	Amazona kawalli			X				Brazil	BR	Mato Grosso	BR-MT							Cristalino Lodge--Torre 1	L2319134	H	-9.5987073	-55.9367341	2015-09-20	07:00:00	obsr555817	S26476490	Historical	P62	EBIRD_CAN	480	6.000		7	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS341639626	2020-08-21 10:37:32	12309	species	Kawall's Parrot	Amazona kawalli			2				Brazil	BR	Mato Grosso	BR-MT							Cristalino Lodge--Haffer's Trail	L2380934	H	-9.5585522	-55.9130180	2015-09-11	05:45:00	obsr163746	S24980893	Traveling	P22	EBIRD	300	4.828		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS347283947	2018-08-22 10:52:53	12309	species	Kawall's Parrot	Amazona kawalli			2				Brazil	BR	Mato Grosso	BR-MT							Cristalino Lodge--Torre 2 and trail	L2326048	H	-9.6007896	-55.9228429	2015-10-11	06:00:00	obsr348753	S25377158	Traveling	P22	EBIRD	250	2.414		3	1		0	1	0				
